As of date,As of time,Number of confirmed cases,Number of ruled out cases,Number of cases still hospitalised for investigation,Number of cases fulfilling the reporting criteria,Number of death cases,Number of discharge cases,Number of probable cases,Number of hospitalised cases in critical condition,Number of cases tested positive for SARS-CoV-2 virus by nucleic acid tests,Number of cases tested positive for SARS-CoV-2 virus by rapid antigen tests,Number of positive nucleic acid test laboratory detections,Number of death cases related to COVID-19
02/08/2022,,,,,,9520,68002,,6,823801,538570,,
03/08/2022,,,,,,9524,68188,,6,825717,541201,,
04/08/2022,,,,,,9527,68399,,7,827651,544287,,
05/08/2022,,,,,,9531,68618,,8,829251,547115,,
06/08/2022,,,,,,9535,68847,,7,830966,550002,,
07/08/2022,,,,,,9540,69018,,7,832590,552652,,
08/08/2022,,,,,,9547,69145,,7,834224,555058,,
09/08/2022,,,,,,9550,69309,,8,835893,557434,,
10/08/2022,,,,,,9554,69555,,6,837821,560099,,
11/08/2022,,,,,,9555,69755,,7,839290,563006,,
12/08/2022,,,,,,9559,69952,,9,840746,565989,,
13/08/2022,,,,,,9562,70148,,11,842717,569326,,
14/08/2022,,,,,,9565,70301,,10,844446,572576,,
15/08/2022,,,,,,9569,70439,,9,846205,575713,,
16/08/2022,,,,,,9580,70639,,9,848185,578895,,
17/08/2022,,,,,,9584,70870,,10,850525,582312,,
18/08/2022,,,,,,9589,71144,,9,852921,585970,,
19/08/2022,,,,,,9597,71414,,10,855243,590093,,
20/08/2022,,,,,,9602,71684,,12,857485,594240,,
21/08/2022,,,,,,9605,71914,,11,859920,598318,,
22/08/2022,,,,,,9610,72109,,11,862359,602496,,
23/08/2022,,,,,,9620,72376,,11,864771,606738,,
24/08/2022,,,,,,9634,72675,,9,867886,611507,,
25/08/2022,,,,,,9643,72972,,12,871104,616868,,
26/08/2022,,,,,,9650,73227,,13,873450,622357,,
27/08/2022,,,,,,9654,73533,,12,875476,628788,,
28/08/2022,,,,,,9664,73831,,13,878592,635380,,
29/08/2022,,,,,,9668,74073,,17,881327,641133,,
30/08/2022,,,,,,9681,74418,,13,884194,647114,,
31/08/2022,,,,,,9690,74764,,15,887441,653362,,
01/09/2022,,,,,,9701,75094,,14,890747,660642,,
02/09/2022,,,,,,9709,75412,,13,893732,667558,,
03/09/2022,,,,,,9716,75770,,16,896964,674752,,
04/09/2022,,,,,,9724,76096,,18,900065,682334,,
05/09/2022,,,,,,9732,76361,,16,902881,689539,,
06/09/2022,,,,,,9741,76740,,14,905468,696325,,
07/09/2022,,,,,,9757,77156,,15,908530,703457,,
08/09/2022,,,,,,9769,77564,,14,911522,711556,,
09/09/2022,,,,,,9780,77921,,15,914287,718867,,
10/09/2022,,,,,,9788,78329,,16,916726,726215,,
11/09/2022,,,,,,9799,78675,,12,919076,732898,,
12/09/2022,,,,,,9810,78913,,14,921097,738815,,
13/09/2022,,,,,,9820,79100,,13,923168,743962,,
14/09/2022,,,,,,9830,79426,,13,925447,749262,,
15/09/2022,,,,,,9836,79828,,10,927918,754978,,
16/09/2022,,,,,,9852,80219,,14,930228,761667,,
17/09/2022,,,,,,9868,80579,,16,932228,767945,,
18/09/2022,,,,,,9891,80922,,16,934102,773393,,
19/09/2022,,,,,,9901,81135,,17,935735,778020,,
20/09/2022,,,,,,9908,81491,,20,937202,782147,,
21/09/2022,,,,,,9917,81888,,18,938909,786127,,
22/09/2022,,,,,,9934,82270,,20,940524,790502,,
23/09/2022,,,,,,10099,82583,,15,941981,794432,,
24/09/2022,,,,,,10106,83269,,14,943292,798311,,
25/09/2022,,,,,,10116,83531,,13,944483,801017,,
26/09/2022,,,,,,10128,83716,,15,945643,803891,,
27/09/2022,,,,,,10134,83950,,13,946753,806448,,
28/09/2022,,,,,,10148,84270,,12,948039,809073,,
29/09/2022,,,,,,10153,84533,,8,949293,812088,,
30/09/2022,,,,,,10161,84783,,7,950520,814884,,
01/10/2022,,,,,,10167,85125,,11,951643,817668,,
02/10/2022,,,,,,10173,85350,,12,952712,820168,,
03/10/2022,,,,,,10176,85457,,11,953883,822526,,
04/10/2022,,,,,,10184,85660,,11,955015,824680,,
05/10/2022,,,,,,10194,85835,,13,956405,826932,,
06/10/2022,,,,,,10200,86038,,15,957785,829870,,
07/10/2022,,,,,,10202,86289,,12,959183,832841,,
08/10/2022,,,,,,10215,86548,,9,960560,836364,,
09/10/2022,,,,,,10218,86762,,14,962056,839758,,
10/10/2022,,,,,,10228,86886,,15,963585,843103,,
11/10/2022,,,,,,10237,87085,,13,964934,846410,,
12/10/2022,,,,,,10246,87346,,12,966653,849479,,
13/10/2022,,,,,,10254,87575,,9,968281,853473,,
14/10/2022,,,,,,10261,87818,,5,969842,857018,,
15/10/2022,,,,,,10268,88052,,8,971440,860844,,
16/10/2022,,,,,,10273,88253,,8,973243,864605,,
17/10/2022,,,,,,10278,88419,,11,974954,868255,,
18/10/2022,,,,,,10285,88586,,8,976445,871718,,
19/10/2022,,,,,,10297,88853,,6,978066,875221,,
20/10/2022,,,,,,10306,89104,,8,979292,879428,,
21/10/2022,,,,,,10315,89323,,9,980807,883306,,
22/10/2022,,,,,,10322,89549,,10,982777,887289,,
23/10/2022,,,,,,10326,89766,,10,984476,891125,,
24/10/2022,,,,,,10333,89914,,11,986205,894802,,
25/10/2022,,,,,,10343,90145,,9,987799,898429,,
26/10/2022,,,,,,10350,90420,,10,989670,901961,,
27/10/2022,,,,,,10358,90642,,7,991501,906192,,
28/10/2022,,,,,,10365,90878,,8,993352,909997,,
29/10/2022,,,,,,10373,91110,,10,994925,913807,,
30/10/2022,,,,,,10385,91317,,9,996631,917311,,
31/10/2022,,,,,,10397,91466,,9,998199,920509,,
01/11/2022,,,,,,10410,91683,,12,999663,923463,,
02/11/2022,,,,,,10418,91935,,13,1001288,926547,,
03/11/2022,,,,,,10428,92073,,14,1002718,930362,,
04/11/2022,,,,,,10439,92378,,12,1003633,933963,,
05/11/2022,,,,,,10457,92616,,9,1005289,937418,,
06/11/2022,,,,,,10470,92863,,10,1006655,941040,,
07/11/2022,,,,,,10475,92978,,11,1008242,944651,,
08/11/2022,,,,,,10479,93192,,9,1009552,947990,,
09/11/2022,,,,,,10492,93420,,8,1011317,951293,,
10/11/2022,,,,,,10501,93678,,10,1012934,955373,,
11/11/2022,,,,,,10511,93913,,9,1014491,959415,,
12/11/2022,,,,,,10517,94206,,8,1016119,963510,,
13/11/2022,,,,,,10526,94427,,9,1017922,968282,,
14/11/2022,,,,,,10536,94579,,11,1019661,972557,,
15/11/2022,,,,,,10549,94803,,9,1021357,976812,,
16/11/2022,,,,,,10557,95095,,10,1023460,981365,,
17/11/2022,,,,,,10569,95361,,9,1025654,987223,,
18/11/2022,,,,,,10577,95637,,9,1027714,993171,,
19/11/2022,,,,,,10586,95923,,12,1029614,999331,,
20/11/2022,,,,,,10599,96218,,12,1031615,1005066,,
21/11/2022,,,,,,10610,96407,,13,1033570,1010397,,
22/11/2022,,,,,,10623,96701,,11,1035640,1015466,,
23/11/2022,,,,,,10634,97012,,10,1038009,1021082,,
24/11/2022,,,,,,10647,97338,,10,1040388,1027922,,
25/11/2022,,,,,,10663,97639,,13,1042539,1034649,,
26/11/2022,,,,,,10672,97988,,15,1044576,1041486,,
27/11/2022,,,,,,10692,98227,,16,1046573,1047522,,
28/11/2022,,,,,,10718,98471,,16,1048602,1053286,,
29/11/2022,,,,,,10731,98738,,14,1050699,1058736,,
30/11/2022,,,,,,10747,99099,,15,1053254,1064991,,
01/12/2022,,,,,,10762,99432,,18,1055730,1072652,,
02/12/2022,,,,,,10773,99728,,13,1058215,1080163,,
03/12/2022,,,,,,10790,99991,,15,1060540,1087949,,
04/12/2022,,,,,,10806,100251,,20,1063100,1094876,,
05/12/2022,,,,,,10826,,,21,1065656,1101828,,
06/12/2022,,,,,,10842,,,21,1068663,1108773,,
07/12/2022,,,,,,10864,,,21,1072500,1116917,,
08/12/2022,,,,,,10891,,,20,1076153,1127637,,
09/12/2022,,,,,,10914,,,21,1079682,1138032,,
10/12/2022,,,,,,10935,,,26,1083312,1148779,,
11/12/2022,,,,,,10959,,,29,1086852,1160157,,
12/12/2022,,,,,,10984,,,27,1090196,1171530,,
13/12/2022,,,,,,11021,,,28,1093439,1182008,,
14/12/2022,,,,,,11056,,,33,1097451,1192866,,
15/12/2022,,,,,,11075,,,31,1101159,1206238,,
16/12/2022,,,,,,11107,,,35,1104739,1218384,,
17/12/2022,,,,,,11131,,,33,1108246,1230651,,
18/12/2022,,,,,,11171,,,38,1112026,1242894,,
19/12/2022,,,,,,11210,,,41,1115397,1254906,,
20/12/2022,,,,,,11243,,,37,1118861,1266424,,
21/12/2022,,,,,,11293,,,35,1123458,1278780,,
22/12/2022,,,,,,11327,,,39,1128235,1293708,,
23/12/2022,,,,,,11373,,,45,1133482,1308713,,
24/12/2022,,,,,,11412,,,45,1138394,1325163,,
25/12/2022,,,,,,11462,,,46,1143107,1341705,,
26/12/2022,,,,,,11509,,,46,1147432,1356778,,
27/12/2022,,,,,,11562,,,47,1152080,1370756,,
28/12/2022,,,,,,11621,,,49,1157181,1386520,,
29/12/2022,,,,,,11683,,,50,1162658,1405938,,
30/12/2022,,,,,,11755,,,55,1168276,1428150,,
31/12/2022,,,,,,11807,,,53,1172669,1452964,,
01/01/2023,,,,,,11869,,,55,1176351,1472643,,
02/01/2023,,,,,,11943,,,55,1179141,1490083,,
03/01/2023,,,,,,12018,,,50,1181568,1503842,,
04/01/2023,,,,,,12081,,,49,1184735,1517098,,
05/01/2023,,,,,,12149,,,47,1187831,1532424,,
06/01/2023,,,,,,12204,,,54,1190532,1549445,,
07/01/2023,,,,,,12276,,,56,1192858,1562969,,
08/01/2023,,,,,,12342,,,55,1195284,1574656,,
09/01/2023,,,,,,12406,,,54,1197341,1584240,,
10/01/2023,,,,,,12481,,,47,1199088,1591872,,
11/01/2023,,,,,,12548,,,51,1200940,1599299,,
12/01/2023,,,,,,12622,,,51,1202563,1606884,,
13/01/2023,,,,,,12693,,,52,1203925,1613782,,
14/01/2023,,,,,,12747,,,52,1205335,1620121,,
15/01/2023,,,,,,12813,,,49,1206536,1625181,,
16/01/2023,,,,,,12863,,,42,1207573,1628797,,
17/01/2023,,,,,,12909,,,41,1208434,1631779,,
18/01/2023,,,,,,12965,,,36,1209351,1634655,,
19/01/2023,,,,,,13010,,,33,1210194,1637827,,
20/01/2023,,,,,,13052,,,26,1211031,1640779,,
21/01/2023,,,,,,13081,,,27,1211788,1643529,,
22/01/2023,,,,,,13118,,,27,1212431,1645623,,
23/01/2023,,,,,,13167,,,25,1212926,1647399,,
24/01/2023,,,,,,13203,,,25,1213386,1648926,,
25/01/2023,,,,,,13230,,,28,1213871,1650736,,
26/01/2023,,,,,,13258,,,26,1214242,1652766,,
27/01/2023,,,,,,13280,,,25,1214697,1654646,,
28/01/2023,,,,,,13313,,,28,1215195,1657628,,
29/01/2023,,,,,,13333,,,28,1215651,1660455,,
30/01/2023,,,,,,,,,,,,358,5
31/01/2023,,,,,,,,,,,,361,15
01/02/2023,,,,,,,,,,,,455,5
02/02/2023,,,,,,,,,,,,444,12
03/02/2023,,,,,,,,,,,,471,4
04/02/2023,,,,,,,,,,,,469,7
05/02/2023,,,,,,,,,,,,400,7
06/02/2023,,,,,,,,,,,,291,5
07/02/2023,,,,,,,,,,,,284,8
08/02/2023,,,,,,,,,,,,322,2
09/02/2023,,,,,,,,,,,,307,6
10/02/2023,,,,,,,,,,,,250,5
11/02/2023,,,,,,,,,,,,266,4
12/02/2023,,,,,,,,,,,,241,2
13/02/2023,,,,,,,,,,,,167,4
14/02/2023,,,,,,,,,,,,197,3
15/02/2023,,,,,,,,,,,,216,4
16/02/2023,,,,,,,,,,,,196,2
17/02/2023,,,,,,,,,,,,164,2
18/02/2023,,,,,,,,,,,,181,5
19/02/2023,,,,,,,,,,,,142,2
20/02/2023,,,,,,,,,,,,134,3
21/02/2023,,,,,,,,,,,,131,2
22/02/2023,,,,,,,,,,,,129,0
23/02/2023,,,,,,,,,,,,140,0
24/02/2023,,,,,,,,,,,,114,2
25/02/2023,,,,,,,,,,,,119,2
26/02/2023,,,,,,,,,,,,102,2
27/02/2023,,,,,,,,,,,,93,0
28/02/2023,,,,,,,,,,,,96,6
01/03/2023,,,,,,,,,,,,107,3
02/03/2023,,,,,,,,,,,,75,0
03/03/2023,,,,,,,,,,,,55,1
04/03/2023,,,,,,,,,,,,42,1
05/03/2023,,,,,,,,,,,,45,1
06/03/2023,,,,,,,,,,,,45,1
07/03/2023,,,,,,,,,,,,47,0
08/03/2023,,,,,,,,,,,,39,0
09/03/2023,,,,,,,,,,,,50,1
10/03/2023,,,,,,,,,,,,36,0
11/03/2023,,,,,,,,,,,,49,1
12/03/2023,,,,,,,,,,,,31,2
13/03/2023,,,,,,,,,,,,32,1
14/03/2023,,,,,,,,,,,,51,0
15/03/2023,,,,,,,,,,,,49,1
16/03/2023,,,,,,,,,,,,32,0
17/03/2023,,,,,,,,,,,,41,0
18/03/2023,,,,,,,,,,,,37,0
19/03/2023,,,,,,,,,,,,49,0
20/03/2023,,,,,,,,,,,,40,0
21/03/2023,,,,,,,,,,,,34,1
22/03/2023,,,,,,,,,,,,37,0
23/03/2023,,,,,,,,,,,,53,0
24/03/2023,,,,,,,,,,,,25,1
25/03/2023,,,,,,,,,,,,36,0
26/03/2023,,,,,,,,,,,,37,0
27/03/2023,,,,,,,,,,,,39,1
28/03/2023,,,,,,,,,,,,51,0
29/03/2023,,,,,,,,,,,,67,1
30/03/2023,,,,,,,,,,,,61,0
31/03/2023,,,,,,,,,,,,87,0
01/04/2023,,,,,,,,,,,,65,1
02/04/2023,,,,,,,,,,,,73,0
03/04/2023,,,,,,,,,,,,79,0
04/04/2023,,,,,,,,,,,,105,0
05/04/2023,,,,,,,,,,,,99,5
06/04/2023,,,,,,,,,,,,82,1
07/04/2023,,,,,,,,,,,,98,0
08/04/2023,,,,,,,,,,,,91,0
09/04/2023,,,,,,,,,,,,112,2
10/04/2023,,,,,,,,,,,,95,1
11/04/2023,,,,,,,,,,,,125,1
12/04/2023,,,,,,,,,,,,178,1
13/04/2023,,,,,,,,,,,,196,1
14/04/2023,,,,,,,,,,,,203,0
15/04/2023,,,,,,,,,,,,207,1
16/04/2023,,,,,,,,,,,,232,2
17/04/2023,,,,,,,,,,,,196,3
18/04/2023,,,,,,,,,,,,218,1
19/04/2023,,,,,,,,,,,,234,1
20/04/2023,,,,,,,,,,,,227,1
21/04/2023,,,,,,,,,,,,234,3
22/04/2023,,,,,,,,,,,,274,1
23/04/2023,,,,,,,,,,,,286,1
24/04/2023,,,,,,,,,,,,259,11
25/04/2023,,,,,,,,,,,,336,3
26/04/2023,,,,,,,,,,,,371,3
27/04/2023,,,,,,,,,,,,389,3
28/04/2023,,,,,,,,,,,,377,5
29/04/2023,,,,,,,,,,,,382,10
30/04/2023,,,,,,,,,,,,406,3
01/05/2023,,,,,,,,,,,,332,2
02/05/2023,,,,,,,,,,,,387,2
03/05/2023,,,,,,,,,,,,434,12
04/05/2023,,,,,,,,,,,,461,7
05/05/2023,,,,,,,,,,,,476,12
06/05/2023,,,,,,,,,,,,431,8
07/05/2023,,,,,,,,,,,,518,11
08/05/2023,,,,,,,,,,,,413,2
09/05/2023,,,,,,,,,,,,488,9
10/05/2023,,,,,,,,,,,,583,10
11/05/2023,,,,,,,,,,,,556,12
12/05/2023,,,,,,,,,,,,522,11
13/05/2023,,,,,,,,,,,,541,9
14/05/2023,,,,,,,,,,,,454,5
15/05/2023,,,,,,,,,,,,453,5
16/05/2023,,,,,,,,,,,,484,9
17/05/2023,,,,,,,,,,,,472,14
18/05/2023,,,,,,,,,,,,469,12
19/05/2023,,,,,,,,,,,,536,10
20/05/2023,,,,,,,,,,,,532,12
21/05/2023,,,,,,,,,,,,471,9
22/05/2023,,,,,,,,,,,,467,10
23/05/2023,,,,,,,,,,,,554,13
24/05/2023,,,,,,,,,,,,521,15
25/05/2023,,,,,,,,,,,,545,8
26/05/2023,,,,,,,,,,,,481,14
27/05/2023,,,,,,,,,,,,459,14
28/05/2023,,,,,,,,,,,,471,17
29/05/2023,,,,,,,,,,,,421,10
